Neighbourhoods,Population,Area (km2),Population Density,Average distance of binsÿ,Predominant land use,Num. of street segments
Don Manuelÿ,3753,0.238,157.689,,amenity/restaurants,33
Dona Josefa,2909,0.282,103.15,,amenity/restaurants,46
Dona Aurora,5636,0.128,440,,building/schools,37
Dona Imelda,16915,0.929,182.077,,amenity/restaurants,138
San Isidroÿ,8578,0.132,649,,building/schools,173
Santo Nino,10278,0.193,532.5,,amenity/restaurants,299
Tatalon,63129,0.925,682.4,,building/schools,152
Fairview,53151,3.12,17035,,amenity/restaurants,430
North Fairview,41154,2.01,20474,,amenity/fuel,200
Greater Lagro,22764,4.24,5368.86,,amenity/restaurants,427
Pasong Putik Proper,35135,27.5,1278.29,,amenity/restaurants,325
Kaligayahan,54576,2.46,22185,,amenity/place of worship,415
Santa Monica,46553,1.65,28214,,amenity/place of worship,309
Santa Lucia,25577,0.642,39839,,shop/convenience,106
